treatment,confounder,outcome,age
0,-0.6800247215784908,-0.5942587592582889,23.997227383601004
1,0.2322536971610035,2.216259844164661,35.80599742375889
1,0.2930724732986812,2.2911708525084125,33.36320159832512
1,-0.7143514180263678,1.185395645509851,23.34970461106601
0,1.8657745111447568,1.8639231975455173,38.78882162324983
0,0.4738329209117875,0.4449670570197737,53.722594104703305
0,-1.1913034972026486,-1.1590316411688395,49.14691006705469
1,0.6565536086338297,2.573830514278597,39.712079058682164
1,-0.9746816702273214,1.0772529811967957,51.95576693228677
1,0.787084603742452,2.9403584950427097,24.889211378932394
0,1.158595579007404,1.1477195641617184,58.32953415414486
1,-0.8206823183517105,1.2194888538581836,53.78488810110858
1,0.9633761292443218,3.032390528415433,42.823406274786414
0,0.4127809269364983,0.3726588797479147,39.95001075164921
0,0.82206015999449,0.8444694081755317,48.227783901912694
0,1.8967929826539476,1.8980522227321268,32.995583625313444
0,-0.2453881160028705,-0.2356205061479873,36.927454935255106
1,-0.7537361643574896,1.1689628572569637,41.036071551921566
0,-0.8895144296255233,-0.887063412199629,47.18563899487396
0,-0.8158102849654383,-0.7660104558408933,31.426350293532323
1,-0.0771017094141042,2.0680126513654,54.97102329438621
0,0.3411519748166439,0.4370790574251645,45.655577852021096
0,0.276690799330019,0.4920090450811747,25.3508386051994
0,0.8271832490360238,0.7504484927472188,51.08298975121455
0,0.013001891877907,0.1002339555499748,40.78464397997503
1,1.4535340771573169,3.471868277731152,36.476463419742096
0,-0.2646568332379561,-0.0456765399161888,38.657114590297965
1,2.720169166589619,4.639339338054104,40.90157960852178
1,0.6256673477650062,2.5416951635469287,26.282501315576425
0,-0.8571575564162826,-0.9170968209606848,40.633875890104754
1,-1.0708924980611123,0.716717929507907,35.26425011945666
0,0.4824724152431853,0.4298969130751092,41.087402200480206
0,-0.2234627853258509,-0.2993760514812207,33.29299687524947
1,0.714000494092092,2.7290398727397127,53.611563276238165
1,0.4732376245735448,2.507413222151261,34.97910901739306
1,-0.0728289126568727,2.114788171264716,40.37737383004142
0,-0.846793718068405,-0.7517513342497999,33.95754516343713
0,-1.5148472246858646,-1.572537590252105,55.777164587719
1,-0.4465149520670211,1.4636435807981432,27.43145034783808
0,0.8563987943234723,0.9055907114741228,48.56833634257668
0,0.2140937441302039,0.0820704234281397,42.18724246889642
0,-1.245738778711988,-1.0625929021265526,54.5452984110626
0,0.173180925851182,0.2911249379233107,36.22016030812366
1,0.3853173797288368,2.3383998145183664,37.736791061884055
0,-0.883857436201133,-1.0551708891102207,27.297049859837784
1,0.1537251059455279,2.2891123433620693,45.438966436782316
0,0.0582087184459998,0.0467547339207381,65.05335302197807
1,-1.142970297830623,0.9808113333667232,58.44475363398134
1,0.3577873603482833,2.1983445944688467,39.164947669107775
0,0.5607845263682344,0.5008470240728571,32.77776060105402
1,1.083051243175277,3.0835756131470955,20.8589166889236
1,1.053802052034903,3.058500111411377,37.42326256359477
1,-1.377669367957091,0.5773240848949845,46.11559949863649
1,-0.9378250399151228,1.124459953319627,32.81716527578539
1,0.5150352672086598,2.4082732242704004,45.18192295104477
1,0.5137859509122088,2.49954800241008,40.563590992753646
0,0.5150476863060479,0.5270772494772378,48.91625586526473
0,3.852731490654721,3.904175374060596,43.53320133586158
0,0.570890510693167,0.642051998502056,27.037145336962823
0,1.135565640180599,1.023101430996812,44.142620122627264
